유도탄 SN,일시,온도,습도,진동,위도,경도,분석값
E79051H0N147805,2022-01-01 0:00,-4.7,39,0,36.6,128.2,0
E79051H0N147805,2022-01-01 1:00,-5.4,43,0,36.6,128.2,0
E79051H0N147805,2022-01-01 2:00,-5.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-01 3:00,-6.3,47,0,36.6,128.2,0
E79051H0N147805,2022-01-01 4:00,-6.8,49,0,36.6,128.2,0
E79051H0N147805,2022-01-01 5:00,-8.8,61,0,36.6,128.2,0
E79051H0N147805,2022-01-01 6:00,-8.4,58,0,36.6,128.2,0
E79051H0N147805,2022-01-01 7:00,-8.8,64,0,36.6,128.2,0
E79051H0N147805,2022-01-01 8:00,-9.4,65,0,36.6,128.2,0
E79051H0N147805,2022-01-01 9:00,-7.3,58,0,36.6,128.2,0
E79051H0N147805,2022-01-01 10:00,-4.2,41,0,36.6,128.2,0
E79051H0N147805,2022-01-01 11:00,-2.1,35,0,36.6,128.2,0
E79051H0N147805,2022-01-01 12:00,-0.3,29,0,36.6,128.2,0
E79051H0N147805,2022-01-01 13:00,1.6,24,0,36.6,128.2,0
E79051H0N147805,2022-01-01 14:00,4,16,0,36.6,128.2,0
E79051H0N147805,2022-01-01 15:00,4.7,14,0,36.6,128.2,0
E79051H0N147805,2022-01-01 16:00,4,16,0,36.6,128.2,0
E79051H0N147805,2022-01-01 17:00,1.1,24,0,36.6,128.2,0
E79051H0N147805,2022-01-01 18:00,-0.4,31,0,36.6,128.2,0
E79051H0N147805,2022-01-01 19:00,-1.9,39,0,36.6,128.2,0
E79051H0N147805,2022-01-01 20:00,-2,40,0,36.6,128.2,0
E79051H0N147805,2022-01-01 21:00,-2.7,45,0,36.6,128.2,0
E79051H0N147805,2022-01-01 22:00,-3.6,55,0,36.6,128.2,0
E79051H0N147805,2022-01-01 23:00,-3.7,54,0,36.6,128.2,0
E79051H0N147805,2022-01-02 0:00,-3.8,55,0,36.6,128.2,0
E79051H0N147805,2022-01-02 1:00,-4,56,0,36.6,128.2,0
E79051H0N147805,2022-01-02 2:00,-5,63,0,36.6,128.2,0
E79051H0N147805,2022-01-02 3:00,-5.3,63,0,36.6,128.2,0
E79051H0N147805,2022-01-02 4:00,-6.5,69,0,36.6,128.2,0
E79051H0N147805,2022-01-02 5:00,-6.8,71,0,36.6,128.2,0
E79051H0N147805,2022-01-02 6:00,-7,70,0,36.6,128.2,0
E79051H0N147805,2022-01-02 7:00,-7.1,73,0,36.6,128.2,0
E79051H0N147805,2022-01-02 8:00,-6,70,0,36.6,128.2,0
E79051H0N147805,2022-01-02 9:00,-3.9,59,0,36.6,128.2,0
E79051H0N147805,2022-01-02 10:00,-2,50,0,36.6,128.2,0
E79051H0N147805,2022-01-02 11:00,-0.8,49,0,36.6,128.2,0
E79051H0N147805,2022-01-02 12:00,2.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-02 13:00,5.6,55,0,36.6,128.2,0
E79051H0N147805,2022-01-02 14:00,6.4,44,0,36.6,128.2,0
E79051H0N147805,2022-01-02 15:00,6.7,39,0,36.6,128.2,0
E79051H0N147805,2022-01-02 16:00,6.4,34,0,36.6,128.2,0
E79051H0N147805,2022-01-02 17:00,5,35,0,36.6,128.2,0
E79051H0N147805,2022-01-02 18:00,3.3,39,0,36.6,128.2,0
E79051H0N147805,2022-01-02 19:00,1,46,0,36.6,128.2,0
E79051H0N147805,2022-01-02 20:00,-0.2,54,0,36.6,128.2,0
E79051H0N147805,2022-01-02 21:00,-1.2,60,0,36.6,128.2,0
E79051H0N147805,2022-01-02 22:00,-2.5,65,0,36.6,128.2,0
E79051H0N147805,2022-01-02 23:00,-3.5,67,0,36.6,128.2,0
E79051H0N147805,2022-01-03 0:00,-3.2,67,0,36.6,128.2,0
E79051H0N147805,2022-01-03 1:00,-4.3,68,0,36.6,128.2,0
E79051H0N147805,2022-01-03 2:00,-4.8,70,0,36.6,128.2,0
E79051H0N147805,2022-01-03 3:00,-5.2,68,0,36.6,128.2,0
E79051H0N147805,2022-01-03 4:00,-5.3,70,0,36.6,128.2,0
E79051H0N147805,2022-01-03 5:00,-5.2,71,0,36.6,128.2,0
E79051H0N147805,2022-01-03 6:00,-6.2,74,0,36.6,128.2,0
E79051H0N147805,2022-01-03 7:00,-6.7,77,0,36.6,128.2,0
